"病例ID","当前病例审核状态","当前阻塞总数","P0数量","P1数量","P2数量","是否存在source/source冲突","是否存在双语极性冲突","是否存在未审核simulation","是否存在元数据或英文名称缺失","Patient Agent是否已隔离","评分是否已隔离","是否具备终签条件","仍需哪类专家处理","终签结论","终签人","终签日期","备注"
"P024","needs_revision","33","13","18","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科；医学教育；心内科/血液科；医学数据治理；影像科；双语医学/医学翻译；检验医学","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P025","needs_revision","32","12","18","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科；医学教育；心内科/血液科；医学数据治理；影像科；双语医学/医学翻译；检验医学","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P026","needs_revision","34","11","20","3","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科；医学教育；心内科/血液科；医学数据治理；妇产科；神经内科；检验医学；双语医学/医学翻译；影像科","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P027","needs_revision","32","12","18","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科；医学教育；心内科/血液科；医学数据治理；影像科；双语医学/医学翻译；检验医学","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P028","needs_revision","31","11","18","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科；医学教育；心内科/血液科；医学数据治理；影像科；双语医学/医学翻译；检验医学","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P029","needs_revision","30","11","17","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科；医学教育；医学数据治理；影像科；双语医学/医学翻译；检验医学","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P030","needs_revision","31","12","17","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科；医学教育；心内科/血液科；医学数据治理；影像科；双语医学/医学翻译；检验医学","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P031","needs_revision","33","12","19","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","肾内科；医学教育；心内科/血液科；泌尿外科；医学数据治理；神经内科；检验医学；双语医学/医学翻译；影像科","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P032","needs_revision","35","14","19","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","肾内科；医学教育；心内科/血液科；泌尿外科；医学数据治理；神经内科；检验医学；双语医学/医学翻译；影像科","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P033","needs_revision","34","13","19","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","肾内科；医学教育；心内科/血液科；泌尿外科；医学数据治理；妇产科；神经内科；影像科；双语医学/医学翻译；检验医学","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P034","needs_revision","34","14","18","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","肾内科；医学教育；心内科/血液科；泌尿外科；医学数据治理；神经内科；影像科；双语医学/医学翻译；检验医学","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P035","needs_revision","35","14","19","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","肾内科；医学教育；心内科/血液科；泌尿外科；医学数据治理；妇产科；神经内科；影像科；双语医学/医学翻译；检验医学","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P036","needs_revision","32","12","18","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科；医学教育；心内科/血液科；医学数据治理；神经内科；影像科；双语医学/医学翻译；检验医学","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P037","needs_revision","35","14","19","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科；医学教育；心内科/血液科；医学数据治理；妇产科；神经内科；影像科；双语医学/医学翻译；检验医学","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P038","needs_revision","33","13","18","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科；医学教育；心内科/血液科；医学数据治理；神经内科；影像科；双语医学/医学翻译；检验医学","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P039","needs_revision","36","15","19","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科；医学教育；心内科/血液科；医学数据治理；妇产科；影像科；双语医学/医学翻译；检验医学","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P040","needs_revision","32","12","18","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科；医学教育；心内科/血液科；医学数据治理；影像科；双语医学/医学翻译；检验医学","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P041","needs_revision","35","14","19","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科；医学教育；心内科/血液科；医学数据治理；妇产科；神经内科；影像科；双语医学/医学翻译；检验医学","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
"P042","needs_revision","32","12","18","2","否","否","是","是","部分：已知双语/病史/source修订冲突不作确定性回答；419条simulation练习候选未全量字段隔离；正式模式禁用","部分：已知冲突字段不收集/不评分且正式模式禁用；练习版simulation仍需终签","否","泌尿外科；医学教育；心内科/血液科；医学数据治理；双语医学/医学翻译；影像科；检验医学","","","","不得自动改为已通过；需清零本例阻塞并由持证病例负责人签署"
